imp_fraction,perturb_param,level,factor,seed,pop,mean_sttc,pct_ictal,mean_rate,cv_rate
50p,p_conn,0.0,1.0,12347,FS,0.4970274602597361,62.62500000000002,102.49088749999999,0.6792432984539439
50p,C,-0.2,0.8,12347,IMP,0.5868593335400873,65.62500000000001,127.38801875000001,0.6545504364014848
50p,C,-0.2,0.8,12347,FS,0.5323612315543343,65.62500000000001,108.716875,0.6441856705503745
50p,tau_w,-0.2,0.8,12347,IMP,0.5473728076492056,66.5,123.27205000000002,0.6253032574064693
50p,tau_w,-0.2,0.8,12347,FS,0.5059776239222855,66.5,105.1661,0.6150098865880564
50p,C,0.2,1.2,12347,IMP,0.5350540432758916,61.874999999999986,119.33425000000001,0.6917319822237602
50p,C,0.2,1.2,12347,FS,0.4785193558891182,62.125,100.61585,0.6812029912999769
50p,C,0.1,1.1,12347,IMP,0.5488500164951117,62.875000000000014,120.6762875,0.6863404447793523
50p,C,0.1,1.1,12347,FS,0.48956002623798667,63.375,102.11236250000002,0.6753384655660022
50p,p_conn,0.2,1.2,12346,IMP,0.574085237085418,67.62499999999999,127.87774375,0.6192644834363473
50p,p_conn,0.2,1.2,12346,FS,0.530039523392664,68.125,109.19567500000001,0.6117186801816108
50p,C,-0.1,0.9,12347,IMP,0.58423360702115,65.37500000000001,127.6405125,0.6445871802044003
50p,C,-0.1,0.9,12347,FS,0.5263804358380797,65.875,108.474425,0.6346609426670556
50p,tau_w,0.1,1.1,12347,IMP,0.5575302963010148,62.375000000000014,121.34394375,0.7073402440775632
50p,tau_w,0.1,1.1,12347,FS,0.49652165404767934,62.875000000000014,103.0133625,0.6963731806931539
50p,tau_w,0.2,1.2,12347,IMP,0.5581871253487722,61.5,120.61630625000002,0.7324093420321939
50p,tau_w,0.2,1.2,12347,FS,0.49037537599111075,61.5,102.50202499999999,0.7214217326630937
50p,tau_w,-0.1,0.9,12347,IMP,0.559386987463097,67.12500000000001,124.61015625,0.640798604228202
50p,tau_w,-0.1,0.9,12347,FS,0.5066981064928245,67.12500000000001,105.712,0.6311773737461728
50p,p_conn,-0.2,0.8,12347,IMP,0.5574644667166921,57.374999999999986,115.34086875000001,0.7731389561762625
50p,p_conn,-0.2,0.8,12347,FS,0.4847456230189275,57.374999999999986,97.94194999999999,0.7611141791015091
50p,p_conn,-0.1,0.9,12347,IMP,0.5628810711433495,61.500000000000014,120.83164375,0.7060503143067124
50p,p_conn,-0.1,0.9,12347,FS,0.5051230037351738,61.500000000000014,102.54611249999999,0.6952566097505983
50p,p_conn,0.1,1.1,12347,IMP,0.5545917379447453,65.875,124.39923125000001,0.6535074183172194
50p,p_conn,0.1,1.1,12347,FS,0.5263884920397658,66.37499999999999,105.76093749999998,0.6439720345292979
50p,p_conn,0.2,1.2,12347,IMP,0.5761883401917783,69.375,129.96315,0.5999816577925273
50p,p_conn,0.2,1.2,12347,FS,0.5285961326456945,69.62500000000003,110.2801875,0.5917116510465966
100p,C,0.0,1.0,12345,IMP,0.8208760068851801,96.12500000000001,171.25651331416427,0.19576732402443783
100p,C,0.0,1.0,12345,FS,0.754772014314141,96.12500000000001,187.6705875,0.19349136863104843
